,Testing_1,Testing_2,Testing_3,Testing_4,Testing_5,Testing_6,Testing_7,Testing_8,Testing_9,Testing_10,Testing_11,Testing_12,Testing_13,Testing_14,Testing_15,Testing_16,Testing_17,Testing_18,Testing_19,Testing_20,Testing_21,Testing_22,Testing_23,Testing_24,Testing_25,Testing_26,Testing_27,Testing_28,Testing_29,Testing_30,Testing_31,Testing_32,Testing_33,Testing_34,Testing_35,Testing_36,Testing_37,Testing_38,Testing_39,Testing_40,Testing_41,Testing_42,Testing_43,Testing_44,Testing_45,Testing_46,Testing_47,Testing_48,Testing_49,Testing_50,Testing_51,Testing_52,Testing_53,Testing_54,Testing_55,Testing_56,Testing_57,Testing_58,Testing_59,Testing_60,Testing_61,Testing_62,Testing_63,Testing_64,Testing_65,Testing_66,Testing_67,Testing_68,Testing_69,Testing_70,Testing_71,Testing_72,Testing_73,Testing_74,Testing_75,Testing_76,Testing_77,Testing_78,Testing_79,Testing_80
0,0.114805282,0.107023489,0.114253958,0.110725981,0.116950911,0.115873656,0.115609375,0.117369701,0.109672538,0.1107206,0.106181935,0.112977707,0.108192526,0.108512364,0.109511253,0.105765825,0.103359252,0.11373929,0.119334196,0.109220224,0.110433915,0.115430937,0.112369208,0.10874274,0.11317227,0.108898906,0.110688267,0.119283919,0.115212727,0.110730759,0.11297305,0.115631222,0.114306655,0.113692986,0.110840729,0.106930478,0.110933577,0.109775919,0.102668738,0.105844606,0.113458246,0.10751816,0.103446737,0.116846834,0.115778072,0.108408777,0.116594328,0.109584975,0.115369181,0.113945565,0.114012325,0.114781799,0.112864242,0.11679071,0.118743768,0.109647555,0.115599122,0.109340907,0.107469838,0.111932895,0.109138079,0.112728117,0.111155232,0.115808633,0.113266817,0.112464874,0.111068976,0.11317958,0.104728013,0.114801108,0.109585098,0.107781874,0.114147555,0.112812739,0.110223676,0.110884183,0.113944373,0.11096439,0.110225845,0.109943282
1,-0.01733079,-0.146434534,0.202180283,-0.068010177,-0.044378706,0.076410098,0.022591716,0.186724702,0.024407205,-0.112042944,-0.117182959,-0.06326205,-0.038492838,-0.141742533,0.013980132,-0.036436957,-0.105779055,0.112025498,0.30328395,0.026957289,-0.076671476,0.172579851,0.117274922,0.10409101,-0.091610561,-0.042709228,-0.182269097,0.346254206,-0.015447025,0.008096142,-0.14248795,0.093255423,-0.038552888,0.005337494,-0.106385361,-0.160375192,0.074755031,0.039546711,-0.176164435,0.054634626,0.075140629,0.033471814,0.058166714,0.035842109,-0.013178148,0.028269937,-0.18841576,0.15236314,0.18459663,-0.02306152,-0.047508085,0.05915561,-0.141578968,0.020468269,0.011684986,-0.173706065,0.100208144,-0.103163483,0.021933307,0.015924763,-0.072790426,0.046861893,0.008968159,-0.092379729,0.189869512,-0.03720841,-0.013457432,0.002244325,-0.190339531,0.196923924,-0.006247575,-0.18222117,0.050683076,-0.076433815,-0.092862818,0.087220043,-0.101838552,-0.063212241,0.000553903,0.043188032
2,-0.085799599,0.006965972,-0.053698875,-0.058654294,-0.199014098,-0.146885791,-0.041806572,-0.119085344,0.184617191,-0.065592471,0.070822164,0.010436906,0.073322268,-0.12352105,-0.026692428,0.097979745,0.041540848,-0.032391437,-0.084773929,-0.019449589,-0.005189248,-0.008589272,-0.094644489,0.122848615,-0.039527018,-0.071317735,-0.014080106,0.116624424,-0.01327307,0.018197922,-0.094059373,0.006358891,-0.023312078,-0.149491369,-0.042362293,0.331412403,0.188184809,0.140387556,0.120232792,0.050569625,-0.108987723,0.04450783,0.248143974,-0.099865969,-0.16311668,0.287754999,-0.144431249,-0.024456699,0.11954284,-0.05619382,0.022925257,-0.081202474,-0.113590813,-0.126302254,-0.113156866,0.088806699,0.013626811,0.016372516,0.177596198,0.020106442,0.057792218,-0.043055015,-0.083930146,-0.162007013,-0.075992095,-0.046307807,0.11846429,-0.013167536,0.180627896,0.092694913,0.157927013,0.028087228,-0.110004044,-0.137166668,0.024262909,-0.105310623,-0.05840012,0.01901868,0.132084335,0.222595832
3,-0.066139581,-0.142667721,0.023442042,-0.020564513,0.078218807,0.044961988,-0.029019199,0.048761902,-0.043753493,-0.089040935,-0.112648843,0.040101001,0.029311474,-0.079142333,-0.137454362,-0.109182588,-0.209309769,0.087606517,0.068758497,-0.185048819,-0.053791648,0.176694545,0.033303666,-0.094896484,0.216572982,-0.047564239,0.023589732,0.1117149,0.110262724,0.080888666,-0.032241935,-0.137148588,-0.064077192,0.008640857,-0.093582972,0.230694556,0.085982467,0.039649676,-0.113358574,-0.154534102,0.032850272,-0.015888352,0.027622281,-0.062398173,-0.064811274,-0.068566464,0.339924846,-0.041617335,0.031668805,0.015334686,0.020764569,0.17867951,0.080750367,0.20699436,0.014511975,-0.08089369,-0.166907363,0.011366386,0.025526837,0.110721154,-0.144710651,-0.096456429,-0.022625785,0.025161705,-0.225161692,-0.050584872,0.189253887,0.058281657,0.293680876,-0.010314095,0.091166554,-0.060739864,-0.036478486,-0.058000489,-0.01750361,0.066317731,-0.003827695,0.071073353,-0.227966731,-0.046183177
4,0.031855419,-0.092431415,0.144579091,0.014338445,-0.036841273,0.114816571,-0.107318256,0.23398321,-0.055665994,0.102585144,0.11724092,0.168059144,0.028827734,-0.123465808,0.075552457,0.040465203,0.042251234,-0.224964301,0.11979339,-0.037966319,0.097326686,-0.240729302,0.030339264,-0.188070006,-0.08002272,-0.010575927,0.085437613,0.169880743,0.184296149,-0.147891408,-0.041507993,0.092289234,0.094622848,-0.006258199,0.043912357,-0.028956568,0.056267435,-0.000312587,-0.162565341,-0.29043911,-0.170920495,0.105319387,0.12999545,0.117039078,-0.08709473,-0.022844937,0.073437074,-0.160991146,-0.038870068,0.106465526,0.092307811,-0.085623957,0.023171756,-0.054774594,0.040107131,-0.106313451,0.125097651,0.10910897,0.01653669,0.099915202,0.031957078,-0.05368308,-0.009080415,-0.089805109,-0.027483181,0.052737048,-0.126411965,-0.009902288,0.141490066,-0.089019774,-0.212703597,-0.095667661,-0.129853717,0.058009915,0.002485094,-0.15178196,-0.103978872,0.112259926,0.166867413,-0.036379188
5,-0.114853256,0.076689212,0.14040894,0.08837637,-0.017551675,0.02905081,-0.009040297,-0.016643132,-0.036896038,0.034151855,0.042723507,0.037205934,0.10171763,0.052759324,0.064854692,0.001525368,0.096965116,-0.112889516,-0.022602921,0.025163681,0.031822123,-0.111436326,0.108752136,0.021889962,-0.003439191,0.146654285,-0.053549175,-0.124610116,-0.04979404,0.245940527,-0.279854636,-0.127629373,-0.011021346,-0.049179911,-0.145188087,-0.132867064,-0.059109073,0.157268676,0.139181842,-0.18648467,-0.015965422,0.161662343,0.064816902,-0.051760921,-0.135758742,-0.081130394,-0.169653056,0.110415166,-0.188960901,-0.028968962,0.11367607,0.249673627,-0.009567531,-0.064321238,-0.087777844,-0.094343012,-0.195207965,0.139318945,0.056649767,0.045482304,0.053979882,-0.128203798,0.051701672,-0.121450781,0.164345174,-0.029768888,0.150280176,0.080247762,0.060029192,0.044504576,0.150198556,-0.016396488,0.149661819,0.003063146,-0.039716573,0.057315658,-0.018074152,-0.031486344,0.048429804,-0.333051022
6,-0.223899966,-0.069413101,-0.030142089,-0.182576772,-0.026453755,-0.050324,-0.011679554,-0.111602513,-0.080108047,0.074048296,-0.007283298,0.052955778,-0.031975251,0.13871551,-0.041167177,0.120174511,0.135280728,0.068342961,-0.022343238,-0.058421898,-0.09487021,-0.059000015,-0.049149164,0.095817303,0.072775824,-0.126449249,-0.087544147,-0.04340424,0.010513638,-0.036341179,0.155110537,0.239870582,0.031368872,0.055247781,-0.130245181,0.088112005,-0.067558875,0.150823378,-0.019024064,0.198658131,-0.042776266,-0.006575369,0.009084838,0.001555184,0.215159442,-0.006564486,0.136026124,-0.031167733,-0.104193339,-0.097846396,0.04477697,0.188203126,-0.009478731,-0.070902914,-0.099952105,-0.197599649,0.406278186,0.066759331,-0.05440771,-0.076254279,-0.106216275,-0.125888298,0.052259497,0.072265009,0.042866701,-0.193505857,0.004505791,0.013008406,0.210668468,0.010734065,-0.047868299,-0.176590867,0.111469127,0.023839821,-0.052309812,0.01145642,-0.096496334,-0.024799513,0.143325365,-0.161771712
7,-0.019993702,-0.067687279,-0.07034955,-0.027737901,-0.118518171,-0.128664316,0.131002052,0.025630305,0.030877255,0.05845971,-0.02556858,0.155001341,-0.036370964,-0.210098481,0.066599166,0.075654615,-0.121753604,-0.234062611,-0.125456823,0.191929495,-0.027573952,-0.072761988,-0.082664965,0.012002923,0.14936243,0.027023843,-0.173863458,-0.007891043,-0.042514104,-0.075519651,-0.02252198,-0.004258328,0.202778294,0.178768844,-0.10951578,0.019261013,-0.09144829,0.063030508,-0.119926894,-0.206438494,0.194361401,0.02232241,-0.16297612,-0.127719481,-0.057952548,-0.015251393,0.166462063,0.15359167,-0.122873514,-0.058277628,0.135974855,-0.001287229,0.117022543,-0.054633269,-0.073535847,0.012739799,0.008128776,-0.125062945,-0.061510446,-0.075152325,-0.093866508,0.198105798,-0.146445285,0.038821278,0.13793133,-0.054563388,-0.029324932,0.237230637,-0.000473668,0.155037127,-0.023811624,0.101571436,-0.004944496,-0.175335702,0.065264992,0.109023559,0.058304861,0.06651543,0.11199259,0.179122806
8,0.002716459,-0.068670206,-0.028419214,0.094933865,-0.016156178,0.074207937,-0.018848847,-0.066569137,-0.095693446,-0.095470822,-0.128604083,-0.01813518,-0.003987439,0.015990813,0.075815473,-0.107829459,-0.248917575,0.155589751,-0.117082823,0.001916982,-0.037498928,-0.035860367,0.018479458,-0.073433485,-0.126537916,0.032183586,-0.021402804,-0.23648707,-0.110048961,0.068747707,-0.099738396,0.265944349,-0.111705199,-0.01579549,0.071839104,-0.056031603,0.062811506,-0.05371097,0.084401257,-0.342505011,0.061090631,0.149894192,0.054380955,-0.123015882,-0.033949956,0.03236925,-0.041119114,0.104539851,-0.067102044,0.000326532,0.018591078,-0.011968388,-0.029665215,0.122816256,0.064399901,0.142723864,0.554790675,0.065508854,0.10896993,0.093716295,0.084320421,0.003627892,-0.058640961,-0.034538328,-0.087206991,0.005050336,0.043438337,0.006887715,-0.007172772,-0.035091449,0.041200698,0.005314364,0.008580409,-0.00791579,-0.009855778,0.054683507,0.028269246,0.022779358,-0.127657499,0.089911935
9,-0.087843975,-0.021529477,0.057170437,0.047207022,-0.034948587,0.075965762,-0.016551667,0.076468173,-0.027129198,-0.001614626,-0.089113817,-0.009096829,-0.023131265,-0.076308257,0.140439917,0.047365247,0.202840804,0.040703977,0.011112684,-0.116390435,-0.150384939,-0.182050585,0.112803457,-0.006044444,0.107364467,-0.094755372,0.053976224,-0.190007665,-0.112134322,-0.158563433,-0.046911564,-0.094580174,-0.286879415,0.175315028,0.110791579,0.032729191,0.075847172,-0.033935225,-0.051940049,0.107597062,-0.046222832,0.232438729,0.161010391,-0.102984229,0.123928553,0.228164627,-0.016973223,0.079674951,-0.058770976,-0.126151288,0.110207835,0.0877854,0.060118648,0.144052555,0.200134961,-0.0135062,-0.215236546,0.04973794,-0.025795681,-0.089530714,0.01923924,-0.01218588,-0.038326333,-0.041140914,0.122303574,-0.09368404,-0.107157079,0.085972847,0.02107638,-0.152039245,-0.204334497,-0.066612252,0.062590672,-0.064352133,0.045364431,0.099616353,-0.06089294,-0.062006159,-0.113511319,0.265740292
