,Training_1,Training_2,Training_3,Training_4,Training_5,Training_6,Training_7,Training_8,Training_9,Training_10,Training_11,Training_12,Training_13,Training_14,Training_15,Training_16,Training_17,Training_18,Training_19,Training_20,Training_21,Training_22,Training_23,Training_24,Training_25,Training_26,Training_27,Training_28,Training_29,Training_30,Training_31,Training_32,Training_33,Training_34,Training_35,Training_36,Training_37,Training_38,Training_39,Training_40,Training_41,Training_42,Training_43,Training_44,Training_45,Training_46,Training_47,Training_48,Training_49,Training_50,Training_51,Training_52,Training_53,Training_54,Training_55,Training_56,Training_57,Training_58,Training_59,Training_60,Training_61,Training_62,Training_63,Training_64,Training_65,Training_66,Training_67,Training_68,Training_69,Training_70,Training_71,Training_72,Training_73,Training_74,Training_75,Training_76,Training_77,Training_78,Training_79,Training_80
0,0.113086714,0.108933832,0.108855304,0.116204632,0.116863347,0.112523949,0.111524421,0.11267831,0.109004333,0.114324659,0.111988818,0.115609405,0.115941724,0.110240758,0.11040016,0.106633041,0.105037814,0.107639532,0.116994851,0.115283662,0.109681115,0.113967422,0.103676563,0.115049753,0.11237923,0.110735417,0.119034913,0.11099656,0.112199969,0.107304874,0.110425148,0.112587676,0.120224859,0.109233737,0.109873567,0.114027745,0.115240165,0.112452223,0.110923703,0.109833171,0.118108175,0.107773021,0.115975152,0.114805116,0.109149062,0.11459495,0.11440997,0.112603199,0.112267251,0.110469591,0.11644484,0.108881704,0.115815913,0.117197329,0.114638524,0.114940003,0.114023336,0.111634567,0.108304387,0.119938975,0,0.113765006,0.108342868,0.110343809,0.111078021,0.11156483,0.118248517,0.110538354,0.106082489,0.121496542,0.10979185,0.109224062,0.112118158,0.113272568,0.112510774,0.112269013,0.113840793,0.110674399,0.114796897,0.112301683
1,-0.004078631,0.103333384,0.031402428,-0.013486667,-0.034744636,-0.104074627,-0.157118121,-0.111960284,0.137211046,0.08641292,0.060986032,-0.283268055,-0.278627434,0.037550973,-0.003358057,0.041305827,-0.081699047,0.09899202,-0.08580501,-0.059691238,-0.025465848,0.053269267,-0.078224023,0.103852831,-0.229507115,-0.023647283,-0.048570563,-0.221092624,0.093358059,0.101461338,0.059973148,0.04227643,-0.091612435,0.106366633,0.031437063,0.061798359,0.067162741,-0.084879171,0.145551577,0.001217608,0.181152115,0.079500689,0.128925746,0.127253423,-0.155041064,-0.080996295,-0.124879714,0.111287527,-0.097192579,-0.210203246,0.145874849,0.0144356,-0.096831973,0.119671333,-0.108261584,0.098889893,-0.116632268,0.04874571,0.002196071,0.043547863,0,0.198286239,-0.050252391,-0.120077236,0.161548375,-0.058454528,-0.169491549,0.181217642,0.046082252,0.008580796,0.147326198,0.070926804,0.00014526,-0.052830048,-0.193024686,0.08328802,0.076974294,0.103730023,-0.027735497,0.065911771
2,0.118976345,-0.110132934,0.015640806,0.09684283,0.217094054,-0.109987071,-0.154173189,-0.219183153,0.004877286,-0.222061804,-0.017426155,0.10116366,0.1417034,0.05139458,-0.215570291,-0.142781758,-0.032912709,-0.160855527,0.090020553,-0.037906525,-0.066167455,0.064687919,-0.049239582,0.025084135,-0.005778147,0.050421283,0.251416408,-0.074583315,-0.034143576,0.067650745,0.134226098,-0.007838201,0.248840098,0.014560207,0.04584506,0.037357498,-0.009072396,-0.078238885,-0.157702462,0.042533296,0.081396303,0.008564065,0.157875622,0.022089249,0.025369713,-0.18506691,-0.016214643,0.076321019,-0.055238543,-0.060475506,0.081141928,-0.058337813,-0.099821073,0.089221573,0.129016853,0.023704245,-0.006508452,0.051473954,0.027010761,0.010195525,0,-0.028585224,0.019452289,-0.139707134,-0.019209269,-0.124953166,0.168536635,-0.055292587,-0.177056321,0.243758726,0.033930202,-0.245149879,-0.224806991,0.104271383,-0.095286286,0.075001582,0.008899168,-0.061497065,0.067969904,0.092675775
3,0.024458792,-0.009446212,0.07000471,-0.020889851,-0.019390512,-0.115388865,-0.106546149,-0.060511386,0.167053323,-0.131549103,0.100772698,-0.156415833,-0.00217087,0.024749101,-0.086820447,0.167352863,0.030990615,0.135113923,0.033242718,-0.067061357,0.150652136,-0.000316944,0.180139705,-0.096548225,0.120848737,0.16057382,0.004478299,0.161561414,0.046217108,0.157247751,-0.189797815,-0.023417536,-0.085910213,0.137738785,0.149790696,0.090345354,-0.254664295,-0.14214422,-0.076604782,0.071489946,-0.158475476,0.055326896,-0.096305148,-0.064521314,0.162160288,-0.169171627,-0.048913882,-0.011290259,-0.110115391,0.103326526,-0.180924982,0.157387956,-0.094971802,-0.04660811,0.18879466,0.013832216,0.042312484,0.179354098,0.206515129,-0.173913355,0,-5.10E-05,-0.128847902,0.059706802,0.058194719,-0.110985754,-0.048232657,-0.00240508,0.206237184,-0.158215291,0.057275946,-0.095548804,-0.092814457,-0.052792614,-0.059734136,0.020908975,-0.044844937,0.056355339,-0.049100882,0.051345191
4,0.05035783,0.230910749,0.054497462,0.08195223,-0.100973695,0.040789632,-0.177023541,-0.174576407,0.028124218,0.037215257,-0.022260355,-0.031865188,-0.087463237,0.15183229,0.084586558,-0.04662264,0.258532546,-0.057551294,-0.087865906,0.04586727,0.072059121,0.010172695,0.081823487,-0.077627578,0.052821954,-0.083126811,-0.12451348,0.040995233,-0.117735849,-0.08930028,0.390719929,0.116085284,-0.003110829,-0.046447184,0.066249275,-0.098318541,0.096741298,0.01363969,0.045184818,0.028003611,-0.124961967,0.131176003,-0.065766215,0.015722678,0.090734825,-0.17620225,0.021411725,-0.111589168,0.130242544,-0.070744054,-0.063015035,0.119806526,-0.077268191,6.74E-05,-0.220684501,0.038696802,-0.02439915,-0.047281687,0.026934284,-0.004376966,0,-0.153463067,0.116425421,0.014533082,-0.059636314,0.130345902,-0.105132738,-0.134645983,0.08029472,-0.131603048,-0.012641352,-0.107214168,-0.296652501,0.239639322,0.043088375,0.037402921,0.072237188,0.095337751,0.019516654,0.012560321
5,0.034370723,-0.071228646,0.082003285,-0.054602852,0.036187882,-0.026938448,-0.018165336,-0.120679051,-0.137522667,0.034792823,0.086763918,-0.00797008,0.15792769,-0.040165832,-0.087931245,-0.195622968,0.094194559,-0.040472476,0.032508149,-0.00932757,-0.016011393,-0.065555516,-0.073301637,0.036794159,-0.038000922,0.009209358,0.053715025,0.052053738,-0.085745754,0.007330355,-0.085953064,0.212456546,-0.086118288,0.025878478,0.023749458,0.061797016,0.015428515,-0.021925068,0.400385801,0.175208991,0.118894801,-0.141539889,-0.078601403,0.057371506,-0.002709042,-0.167283791,-0.029334742,-0.016920721,0.058635775,0.023519923,-0.118220609,0.241954446,0.096148403,0.035631279,-0.078643062,-0.089701277,-0.013460486,-0.189469572,-0.14587914,0.106615141,0,-0.008697363,-0.183094976,0.079073394,0.038738713,-0.175212436,0.066554501,0.257927066,0.135310311,-0.080190296,-0.113447397,-0.269101909,0.197029971,0.153638499,0.020911469,0.049000141,-0.057294856,-0.057660981,-0.027803002,-0.064951177
6,-0.175663206,0.006722159,-0.070610136,0.019834253,-0.074068467,0.00580662,0.183005448,0.033497914,0.133023288,0.064484012,0.059514509,-0.011867249,-0.106224145,0.028084585,-0.031597137,-0.02776411,0.10426963,0.059970291,0.097816731,0.119873254,-0.085941428,-0.077173595,-0.152918903,-0.011176591,-0.084779102,0.138037641,0.010042923,0.053745873,0.19488683,-0.159469635,-0.03738433,-0.008854627,0.162350337,-0.03428786,-0.082019132,0.072091713,0.022786255,0.008077598,-0.159193455,0.050924359,-0.017441535,0.026294915,0.029308894,-0.059999186,-0.011314751,-0.0270889,-0.231630376,0.005370094,0.182420622,0.173483065,-0.076719407,-0.120662361,0.113490241,0.006473471,-0.226137479,0.0641561,0.11395051,0.000378695,-0.054393046,-0.253746711,0,0.079958902,0.018860475,-0.119990034,0.03234135,0.096440006,-0.001675103,0.087801351,0.059874607,-0.017924619,0.078236191,-0.494273467,0.026781134,-0.12362245,-0.004759759,0.045103636,0.181401393,0.072250217,0.050869178,0.047118197
7,-0.011183233,0.230399644,-0.152395023,0.006745855,0.058627297,-0.082251995,-0.078171122,0.004885076,-0.078677339,-0.096311081,-0.082649065,0.082075405,-0.078813665,-0.016462551,-0.036780553,0.023028204,0.011296726,-0.061284491,0.049262491,-0.094737356,-0.036012441,0.117759786,-0.04273329,-0.032328642,-0.057780308,-0.036793738,0.042231067,-0.013137232,-0.080103278,0.435115945,0.089233954,-0.165727258,0.041230393,0.276365015,0.047266915,-0.056736819,0.08003183,0.049527716,0.12315078,-0.093538232,0.064836265,0.227684619,-0.04493709,-0.032132278,0.068704013,-0.053052065,0.064117169,-0.093406513,0.067096357,0.186419003,-0.100374356,0.003338236,0.151197711,-0.112732255,0.07936709,0.046584975,0.020216231,0.083245062,-0.129529403,-0.008672883,0,-0.048279092,-0.05994787,-0.135580508,-0.097474534,0.30190674,-0.108274899,0.119293664,-0.120925904,-0.086205687,-0.119680556,-0.102421273,0.178779704,-0.103942164,-0.114422048,-0.072916726,0.035292648,-0.134115555,0.004806276,-0.084231588
8,0.051840259,-0.211650584,0.141012892,0.103257801,-0.178925254,0.091013548,0.024425293,0.060906238,-0.011787589,-0.0640153,-0.169345719,-0.11736683,-0.125547476,0.133053689,-0.059454556,0.042967116,-0.120052999,-0.057946104,-0.024556905,0.094272956,0.175423942,0.215183765,0.002158829,0.122165894,0.012520299,-0.060363595,-0.18678454,0.107069455,-0.01580177,-0.012039658,0.11951943,-0.159543564,0.186347858,0.124409789,-0.089044968,0.085644553,0.041279437,0.138525895,0.101660268,0.079035124,-0.071400563,-0.039176939,-0.007036706,0.141335555,0.0943952,-0.129748173,-0.079836932,0.016598916,0.062468181,-0.075731674,-0.067985558,-0.17540125,-0.156732075,-0.130479083,0.065493261,-0.146006004,-0.039241475,0.055688777,0.026959826,0.172094827,0,0.017618933,0.159308942,0.163760261,-0.071617269,-0.172537286,-0.122876757,0.058791487,-0.065304049,-0.057695454,-0.071876179,-0.164216502,0.154813817,-0.189630482,0.107917638,0.136113124,-0.032705635,-0.131971506,0.074602701,0.115044231
9,0.051719325,0.200084762,0.131276171,0.01544863,-0.040111534,0.077707366,-0.072351194,-0.083077641,-0.026781774,-0.241258447,0.085871525,-0.099690335,-0.024141957,0.10478193,-0.085773528,-0.164351942,-0.151098084,0.00761957,-0.11813635,-0.065444849,0.110910328,-0.0696825,-0.07581941,0.137476452,0.015015055,-0.024828019,0.031826296,0.401948359,-0.083131089,-0.107358494,-0.137708462,-0.084445865,0.147525023,0.008635685,-0.028200519,0.163260604,0.221332566,-0.044153376,-0.162504346,-0.019242318,0.086593059,-0.1735914,0.089116427,-0.034565713,0.114563487,0.023291994,0.072296321,0.100010141,0.061763314,-0.105811994,-0.114262467,-0.04056728,0.138892858,0.079100205,-0.015709869,0.050460896,-0.093217494,-0.15108512,-0.125010314,-0.131952505,0,-0.008202283,-0.105575684,0.020384038,0.010143898,0.259226345,-0.065322806,0.121973231,0.037281226,-0.032013095,0.071510614,0.184115353,-0.073236838,-0.057492671,-0.021033766,0.051188233,-0.169020683,0.03057353,-0.02571808,0.017699579
